ID,Assembly,Manufacturer,Part number,Qty,Function,Design status,Purchase status,Order ref,Source,Notes
BOM-01,Sensor,Texas Instruments,FDC1004DGSR,1,Capacitance converter,Selected for capture,On the way,DigiKey 101602605,https://www.ti.com/lit/ds/symlink/fdc1004.pdf,Sensor: U1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x FDC1004DGSR (296-48544-1-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-02,Controller,Espressif,ESP32-C6-WROOM-1-N8,1,Wireless MCU module,Selected for capture,On the way,DigiKey 101602605,https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_wroom-1u_datasheet_en.pdf,Controller: U1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x ESP32-C6-WROOM-1-N8 (1965-ESP32-C6-WROOM-1-N8CT-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-03,Mains,Mean Well,IRM-45-12,1,Isolated 12 V common power module,Selected for capture,On the way,DigiKey 101602605,https://www.meanwell.com/Upload/PDF/IRM-45/IRM-45-SPEC.pdf,Mains: U1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate. Purchased 1 x IRM-45-12 (1866-3053-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-04,Mains,Omron,G5RL-1A-TV8 DC5,1,Normally-open pump relay,Selected for capture,Not ordered,,https://components.omron.com/us-en/products/relays/G5RL,Mains: K1; exact current source population; see board design basis and footprint audit. Native/fabrication release remains separate.
BOM-05,Enclosure mains,TE/Schaffner,FN2090A-1-06 / 802490-SF,1,Manufactured two-stage EMI filter,Capture candidate,On the way,DigiKey 101602605,https://www.te.com/en/product-CAT-P97-F2090.html,1 A low-leakage two-stage filter on pump branch; attenuation/install tests owed Purchased 1 x FN2090A-1-06 (817-2400-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-06,Sensor harness,Molex,43025-0600,1,Six-position cable receptacle housing,Capture candidate,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430250600,One controller-end housing; sensor end solders to J1 pigtail pads; mates 43045-0600 with six 43030-0007 tin contacts Purchased 10 x 0430250600 (WM1785-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-07,Controller,Molex,43045-0600,2,Tank and reservoir sensor headers,Selected for capture,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430450600,"Controller J5 and J3. Sensor J1 is a board-only solder-pad interface, excluded from purchased components. Purchased 2 x 0430450600 (WM1815-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-08,Sensor harness,Molex,43030-0007,6,Female crimp contact,Capture candidate,On the way,DigiKey 101602605,https://www.molex.com/en-us/products/part-detail/430300007,Loose tin female 20-24 AWG; use 24 AWG sensor cable; no Stillair stock allocated Purchased 25 x 0430300007 (WM1837-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
BOM-09,Mains,Phoenix Contact,1868076,4,Two-position fixed side-entry mains screw terminals,Selected for capture,On the way,DigiKey 101602605,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-762-1868076,"Mains J1-J4; MKDS 5/2-7,62; both positions used L1/N2; no housing or crimp contacts; see terminal capture basis for assembly limits. Purchased 4 x 1868076 (277-5840-ND); on the way. Actual order record: bom/purchases/101602605/order.json."
BOM-10,Enclosure,Schurter,6200.2300,1,Standard mains input,Capture candidate,On the way,DigiKey 101602605,https://www.schurter.com/en/datasheet/typ_6200.pdf,C14 with one wired 5x20 fuse pole; RC320 terminal cover separate Purchased 1 x 6200.23 (486-1032-ND); on the way. Actual order record: bom/purchases/101602605/order.json.
