order_line_id,source_ids,specified_part,purchased_part,required_quantity,required_unit,quantity_on_the_way,quantity_in_stock,status,order_ref,use,notes
ORDER-LINE-001,BOM-118,0215001.MXEP,0215001.MXEP,1,each,1,0,On the way,DigiKey 101602605,mains: F3,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-002,BOM-119,0451003.MRL,0451003.MRL,1,each,1,0,On the way,DigiKey 101602605,mains: F2,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-003,BOM-09,1868076,1868076,4,each,4,0,On the way,DigiKey 101602605,mains: J1 J2 J3 J4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-004,BOM-25,1N4007-E3/54,1N4007-E3/54,1,each,1,0,On the way,DigiKey 101602605,mains: D1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-005,BOM-38,43045-0200,0430450200,5,each,5,0,On the way,DigiKey 101602605,controller: J6 J7 J8 J9; mains: J6,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-006,BOM-07,43045-0600,0430450600,2,each,2,0,On the way,DigiKey 101602605,controller: J3 J5,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-007,BOM-35,43650-0300,0436500300,2,each,2,0,On the way,DigiKey 101602605,controller: J1; mains: J5,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-008,BOM-15,AO3400A,AO3400A,4,each,10,0,On the way,DigiKey 101602605,controller: Q1 Q2 Q3 Q4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-009,BOM-16,AP63203WU-7,,1,each,0,0,Not ordered,,controller: U2,Not included in order101602605; no new inventory credit. See source BOM for any earlier inventory caveats.
ORDER-LINE-010,BOM-120,AP63205WU-7,,1,each,0,0,Not ordered,,mains: U2,Not included in order101602605; no new inventory credit. See source BOM for any earlier inventory caveats.
ORDER-LINE-011,BOM-14,B32921C3473K000,B32921C3473K000,1,each,1,0,On the way,DigiKey 101602605,mains: C1,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-012,BOM-20,B3F-1002-G,B3F-1002-G,3,each,3,0,On the way,DigiKey 101602605,controller: SW1 SW2 SW3,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-013,BOM-81,C1608X7R1H104K080AA,C1608X7R1H104K080AA,16,each,20,0,On the way,DigiKey 101602605,controller: C6 C7 C8 C11 C12 C21 C30 C31 C40 C41 C42 C45 C46; mains: C5 C7; sensor: C3,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-014,BOM-82,C2012X7R1E105K125AB,C2012X7R1E105K125AB,4,each,10,0,On the way,DigiKey 101602605,controller: C9 C20 C43; sensor: C4,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-015,BOM-66,C3216X7R1E106K160AB,CL31B106KLHNNNE,3,each,10,0,On the way,DigiKey 101602605,controller: C44; sensor: C1 C2,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-016,BOM-110,CRCW25126R80FKEGHP,CRCW25126R80FKEGHP,2,each,3,0,On the way,DigiKey 101602605,controller: R68 R69,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-017,BOM-83,ERA3AEB103V,ERA-3AEB103V,1,each,2,0,On the way,DigiKey 101602605,controller: R15,Actual quantities from supplier CSV; receipt not yet recorded.
ORDER-LINE-018,BOM-90,ERA3AEB9532V,ERA-3AEB9532V,1,each,2,0,On the way,DigiKey 101602605,controller: R14,Actual quantities from supplier CSV; receipt not yet recorded.
