Manufacturer,MPN or specification,Use,Required quantity,Unit,Recommended spares,Suggested buy quantity,Purchase status,Source IDs,Supplier lookup,Source,Controller refs,Controller quantity per set,Mains refs,Mains quantity per set,Sensor refs,Sensor quantity per set,Selection status,Notes
Littelfuse,0215001.MXEP,mains: F3,1,each,1,2,Not ordered,BOM-118,https://www.digikey.ca/en/products?keywords=0215001.MXEP,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,,0,F3,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Littelfuse,0451003.MRL,mains: F2,1,each,1,2,Not ordered,BOM-119,https://www.digikey.ca/en/products?keywords=0451003.MRL,https://www.littelfuse.com/assetdocs/fuse-451-and-453-datasheet?assetguid=533cd5cc-956c-4243-867f-6ab5a62f6ba1,,0,F2,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Phoenix Contact,1868076,mains: J1 J2 J3 J4,4,each,0,4,Not ordered,BOM-09,https://www.digikey.ca/en/products?keywords=1868076,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-762-1868076,,0,J1 J2 J3 J4,4,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Vishay,1N4007-E3/54,mains: D1,1,each,1,2,Not ordered,BOM-25,https://www.digikey.ca/en/products?keywords=1N4007-E3%2F54,https://www.vishay.com/docs/88503/1n4001.pdf,,0,D1,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Molex,43045-0200,controller: J6 J7 J8 J9; mains: J6,5,each,1,6,Not ordered,BOM-38,https://www.digikey.ca/en/products?keywords=43045-0200,https://www.molex.com/en-us/products/part-detail/430450200,J6 J7 J8 J9,4,J6,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Molex,43045-0600,controller: J3 J5,2,each,1,3,Not ordered,BOM-07,https://www.digikey.ca/en/products?keywords=43045-0600,https://www.molex.com/en-us/products/part-detail/430450600,J3 J5,2,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Molex,43650-0300,controller: J1; mains: J5,2,each,1,3,Not ordered,BOM-35,https://www.digikey.ca/en/products?keywords=43650-0300,https://www.molex.com/en-us/products/part-detail/436500300,J1,1,J5,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Alpha & Omega Semiconductor,AO3400A,controller: Q1 Q2 Q3 Q4,4,each,1,5,Not ordered,BOM-15,https://www.digikey.ca/en/products?keywords=AO3400A,https://www.aosmd.com/res/data_sheets/AO3400A.pdf,Q1 Q2 Q3 Q4,4,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Diodes Incorporated,AP63203WU-7,controller: U2,1,each,1,2,Not ordered,BOM-16,https://www.digikey.ca/en/products?keywords=AP63203WU-7,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf,U2,1,,0,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
Diodes Incorporated,AP63205WU-7,mains: U2,1,each,1,2,Not ordered,BOM-120,https://www.digikey.ca/en/products?keywords=AP63205WU-7,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf,,0,U2,1,,0,Exact accepted PCB MPN,All current physical components populated; owner assembly.
