Board,Reference,Identifier,Reason
controller,H1,,PCB feature only; no purchased component
controller,H2,,PCB feature only; no purchased component
controller,H3,,PCB feature only; no purchased component
controller,H4,,PCB feature only; no purchased component
controller,TP1,,PCB feature only; no purchased component
controller,TP10,,PCB feature only; no purchased component
controller,TP11,,PCB feature only; no purchased component
controller,TP12,,PCB feature only; no purchased component
controller,TP13,,PCB feature only; no purchased component
controller,TP14,,PCB feature only; no purchased component
controller,TP2,,PCB feature only; no purchased component
controller,TP3,,PCB feature only; no purchased component
controller,TP4,,PCB feature only; no purchased component
controller,TP5,,PCB feature only; no purchased component
controller,TP6,,PCB feature only; no purchased component
controller,TP7,,PCB feature only; no purchased component
controller,TP8,,PCB feature only; no purchased component
controller,TP9,,PCB feature only; no purchased component
mains,H1,,PCB feature only; no purchased component
mains,H2,,PCB feature only; no purchased component
mains,H3,,PCB feature only; no purchased component
mains,H4,,PCB feature only; no purchased component
sensor,E1,PCB-COPPER-OOP-50,PCB feature only; no purchased component
sensor,J1,PCB-SENSOR-PIGTAIL-6,PCB feature only; no purchased component
