BOM IDs,Assembly,Manufacturer,MPN or specification,Description,Required quantity,Unit,Recommended spares,Suggested buy quantity,Purchase status,Order ref,Selection status,Supplier lookup,Source,Notes
BOM-05,Enclosure mains,TE/Schaffner,FN2090A-1-06 / 802490-SF,Manufactured two-stage EMI filter,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=FN2090A-1-06%20%2F%20802490-SF,https://www.te.com/en/product-CAT-P97-F2090.html,1 A low-leakage two-stage filter on pump branch; attenuation/install tests owed
BOM-06,Sensor harness,Molex,43025-0600,Six-position cable receptacle housing,1,each,1,2,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=43025-0600,https://www.molex.com/en-us/products/part-detail/430250600,One controller-end housing; sensor end solders to J1 pigtail pads; mates 43045-0600 with six 43030-0007 tin contacts
BOM-10,Enclosure,Schurter,6200.2300,Standard mains input,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=6200.2300,https://www.schurter.com/en/datasheet/typ_6200.pdf,C14 with one wired 5x20 fuse pole; RC320 terminal cover separate
BOM-11,Enclosure,Americord,1112.048.005350,Mains receptacle or female pigtail,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=1112.048.005350,https://www.americord.com/en-ca/products/4ft-roj-2-strip-3-8-to-nema-5-15r-power-cord-18-3-sjtow-na,4 ft 18/3 SJTOW; 10 A/125 V; confirm received jacket OD and gland fit
BOM-12,Mains,Littelfuse,0215002.MXP,2 A time-lag inlet fuse F1,1,each,1,2,Not ordered,,Selected for capture,https://www.digikey.ca/en/products?keywords=0215002.MXP,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,215-series ceramic 5x20 cartridge in 6200.2300 inlet. 190 mV maximum drop at rated current. Final assembly cold starts remain untested.
BOM-21,Enclosure,Hammond,1590ZGRP243,Flame-rated splash-resistant enclosure,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=1590ZGRP243,https://www.hammfg.com/part/1590ZGRP243,400x250x120 mm nominal GRP UL94 V-0 IP66 enclosure; insulating partition and simple standoffs; current manufacturer STEP fit receipt in cad/shared-enclosure. Modified cutouts do not inherit catalog rating.
BOM-22,Sensor mount,3M,467MP (25mm wide converter strip or sheet),Thin uniform adhesive film for sensor-to-glass mounting,1,18 x 64mm patch,2,3,Not ordered,,Selected for purchasing; installed response unmeasured,https://www.uline.ca/Product/Detail/S-10041/3M-Adhesive-Transfer-Tape/3M-467MP-Adhesive-Transfer-Tape-1-x-60-yds,https://multimedia.3m.com/mws/media/2522781O/3m-adhesive-transfer-tape-467mp.pdf?fn=3M-Adhesive-Transfer-Tape-467MP.pdf,Thin acrylic transfer film without foam. 3M lists 0.05mm on product page and 0.06mm in current TDS; record actual film thickness at calibration. Buy a small genuine converter sheet/strip rather than a full industrial roll if available. Three patches need at least25x200mm.
BOM-23,Sensor harness,Alpha Wire,"5493C, slate, cut length",Three-pair cable at most 8 inches,0.2032,m maximum installed,0.7968,1,Not ordered,,Selected cable construction; physical reach unmeasured,https://www.digikey.ca/en/products?keywords=5493C,https://www.alphawire.com/products/cable/xtra-guard-performance-cable/xtra-guard-1/5493c,"3 twisted24AWG stranded pairs. Buy1m cutting stock; complete finished harness <=203.2mm including internal reach/terminations. Pair1 white-black pins1/4; pair2 white-brown pins2/5; pair3 white-red pins3/6. Individually sleeve/identify whites. Overall foil/drain cut back and insulated at both ends, not tied to SHLD1/SHLD2. Nominal cable contribution at max length16.27pF pair;29.33pF ground. Verify rise time and strain relief on final hardware."
BOM-34,Enclosure,Schurter,RC320,IEC rear terminal cover,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=RC320,https://www.schurter.com/en/datasheet/typ_6200.pdf,Matched 6200 inlet accessory
BOM-36,Controller/mains harness,Molex,43645-0300,Three-position LV cable housing,2,each,1,3,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=43645-0300,https://www.molex.com/en-us/products/part-detail/436450300,Mates 43650-0300
BOM-39,12 V harness,Molex,43025-0200,Two-position cable housing,2,each,1,3,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=43025-0200,https://www.molex.com/en-us/products/part-detail/430250200,Two ends of the internal fused 12 V harness; future pump accessory mates are deferred.
BOM-54,Mains harness,Alpha Wire,6715 black and 6715 white; 18AWG,Internal black and white mains wire,4,m purchasing allocation,0,4,Not ordered,,Selected stock allowance; final cuts measured during assembly,https://www.digikey.ca/en/products?keywords=6715,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6715,Buy2m black +2m white cut lengths (6715 BK005 / WH005 if full100ft spools are the only option). Cut after enclosure placement; three L/N links per color provisioned at<=0.5m each plus0.5m allowance. Output pigtail wire is included in BOM-11.
BOM-55,PE harness,Alpha Wire,3075 green/yellow; 18AWG,Green/yellow PE wire,2,m purchasing allocation,0,2,Not ordered,,Selected stock allowance; final cuts measured during assembly,https://www.digikey.ca/en/products?keywords=3075,https://www.alphawire.com/en/products/wire/hook-up-wire/premium/3075,Buy2m cut length; 3075 GY005 is100ft spool option. Two independent inlet/filter PE branches to common stud; output PE supplied by pigtail. Retain routing slack and insulated crimp compatibility.
BOM-56,Controller/mains harness,Alpha Wire,"6713 red, black and blue; 22AWG",Red black and blue LV harness wire,3,m purchasing allocation,0,3,Not ordered,,Selected stock allowance; final cuts measured during assembly,https://www.digikey.ca/en/products?keywords=6713,https://www.alphawire.com/disteAPI/SpecPDF/DownloadProductSpecPdf?productPartNumber=6713,Buy1m per color cut lengths. Internal5V/coil harness and short service lead. At0.5m max internal3-wire length each color has0.5m margin; service red/black must retain documented voltage-drop limit. Full-spool codes RD005/BK005/BL005 are100ft each.
BOM-57,Mains harness,TE Connectivity,2-520184-2,Insulated 6.35 mm receptacle,8,each,2,10,Not ordered,,Count reconciled to inlet/filter topology,https://www.digikey.ca/en/products?keywords=2-520184-2,https://www.te.com/en/product-2-520184-2.html,"Eight fitted: inlet L/N/PE (3), filter LINE/LOAD L/N (4), filter PE (1). Exact TE 802490-SF model confirms the fifth filter terminal is a PE FASTON blade. Three central PE rings are separate."
BOM-58,PE harness,TE Connectivity,31886,Inlet and filter PE stud ring,2,each,0,2,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=31886,https://www.te.com/en/product-31886.html,#8/M4 PIDG; 22-16 AWG; insulation 2.67-3.56 mm; one per separate PE branch
BOM-59,PE harness,TE Connectivity,320551,Pigtail PE stud ring,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=320551,https://www.te.com/en/product-320551.html,#8/M4 PIDG; 22-16 AWG; insulation 2.03-3.18 mm; verify received pigtail conductor
BOM-60,Enclosure,Heyco,M3231,Output cord gland,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=M3231,https://www.heyco.com/wp-content/uploads/2024/10/Liquid-Tight-Cordgrips-NPT.pdf,1/2 NPT; 4.3-11.4 mm cable; 22.2 mm clearance hole; required mounting accessories pending
BOM-61,Enclosure,Schurter,6009.1315,Detachable mains input cord,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=6009.1315,https://www.schurter.com/en/datasheet/6009.1315,2.5 m 18 AWG SJT; NEMA5-15P to C13; 10 A 125 V
BOM-92,Service kit,Mean Well,GST18U05-P1J,Isolated service wall adapter,1,each,0,0,Verify owned before buying,,Selected; ownership check required,https://www.digikey.ca/en/products?keywords=GST18U05-P1J,https://www.meanwell.com/Upload/PDF/GST18U/GST18U-SPEC.PDF,"Existing-known adapter in canonical notes, but inventory/order receipt absent. Reserve one GST18U05-P1J; buy one only if unavailable. Mains-disconnected service;2A fused positive lead."
BOM-93,Service kit,Tensility,10-02248,Barrel adapter cable for JST XH service harness,1,each,0,1,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=10-02248,https://tensility.s3.us-west-2.amazonaws.com/imports/product_spec_sheets/10-02248.pdf,"Shorten10-02248; splice2A holder into positive wire, terminate in XHP-2/SXH-001T-P0.6. Obsolete Micro-Fit wording in original BOM-93 is superseded by controller J2 JST XH. Verify center-positive polarity and voltage-drop budget."
BOM-122,Service kit,Littelfuse,01500274Z,Service inline fuse holder,1,each,0,1,Not ordered,,Selected for capture,https://www.digikey.ca/en/products?keywords=01500274Z,https://www.littelfuse.com/assetdocs/fuse-holder-150-datasheet?assetguid=662e5ae4-2c3a-4d7a-8642-e7d9db02703d,Ordinary prewired 5x20 holder; 16 AWG leads; use insulated splices to 22 AWG JST XH service lead.
BOM-123,Service kit,Littelfuse,0215002.MXP,Service 2 A time-lag cartridge,1,each,1,2,Not ordered,,Selected for capture,https://www.digikey.ca/en/products?keywords=0215002.MXP,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf,Same 215-series cartridge as inlet F1; 190 mV maximum rated-current voltage drop. Protects service wiring; not an electronic current limiter.
BOM-124,Enclosure mounting,,M3 insulating mounting kit,Eight PCB mounting positions,1,each,0,1,Not ordered,,Detailed stock-material closure selected,https://www.digikey.ca/en/products?keywords=M3%20insulating%20mounting%20kit,../../docs/mechanical.md,"Umbrella kit only. Concrete ORDER rows include FR-4 carrier, H-rails, hole-free separator, corner clamps, four external M4 posts, eight M3 PCB supports and base fixings. Do not buy generic 45 mm board standoffs in addition."
BOM-126,Service harness,JST,XHP-2,Two-position 5 V service housing,1,each,1,2,Not ordered,,Selected for capture,https://www.digikey.ca/en/products?keywords=XHP-2,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,Mates controller J2; distinct from 12 V Micro-Fit ports.
BOM-127,Service harness,JST,SXH-001T-P0.6,5 V service crimp contacts,2,each,4,6,Not ordered,,Selected for capture,https://www.digikey.ca/en/products?keywords=SXH-001T-P0.6,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf,Use 22 AWG service wire and compatible insulation; splice to inline fuse holder leads.
BOM-08 BOM-37 BOM-40,Sensor and board-to-board harnesses,Molex,43030-0007,Female crimp contact,16,each,8,24,Not ordered,,Capture candidate,https://www.digikey.ca/en/products?keywords=43030-0007,https://www.molex.com/en-us/products/part-detail/430300007,Six tank-sensor + six 5V/coil + four 12V contacts. No future pump or reservoir accessory mates. Tin 20–24AWG; maximum insulation OD1.85mm.
ORDER-01,Enclosure and assembly stock,Alpha Wire,6714 red and black;20AWG,Internal12V feed wire,2,m purchasing allocation,0,2,Not ordered,,Selected purchasing specification,https://www.digikey.ca/en/products?keywords=6714%20red%20and%20black%3B20AWG,https://www.alphawire.com/en/products/wire/ecogen/ecowire/6714,Buy1m per color; cut one matched pair between mainsJ6/controllerJ6.20AWG fits retained43030 contacts; ordinary isolated12V harness.
ORDER-02,Enclosure and assembly stock,Heyco,8463,Black nylon1/2NPT gland locknut,1,each,1,2,Not ordered,,Selected purchasing specification,https://www.digikey.ca/en/products?keywords=8463,https://www.heyco.com/wp-content/uploads/2024/08/Sun_Products_Catalog.pdf,Fits retainedM3231. Its integral sealing ring needs no separate O-ring. Verify wall thickness plus6.7mm nut engagement against15.5mm gland thread; no hole drilling included.
ORDER-07,Enclosure and assembly stock,,Adhesive-lined heatshrink assortment rated>=600V;fit insulated splice OD,Service splices and exposed drain insulation,1,kit,0,1,Not ordered,,Generic purchasing specification,https://www.digikey.ca/en/products?keywords=Adhesive-lined%20heatshrink%20assortment%20rated%3E%3D600V%3Bfit%20insulated%20splice%20OD,../../docs/electrical.md,Stock consumable; insulate barrel/fuse lead splices and cable drain ends. Select shrink sizes after known cable/splice OD; no uninsulated splice left accessible.
ORDER-03,Enclosure and assembly stock,,Unclad flame-retardant FR-4;2mm;UL94V-0 at2mm,Separator and clamp-tab stock,1,200 x 200mm minimum sheet,0,1,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Unclad%20flame-retardant%20FR-4%3B2mm%3BUL94V-0%20at2mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Cut one intact 158 x 118 mm separator and eight 20 x 20 mm corner tabs. Confirm purchased thickness and flame-rating receipt. Do not substitute generic G10.
ORDER-04,Enclosure and assembly stock,,Unclad flame-retardant FR-4;3mm;UL94V-0 at3mm,Carrier/H-rails/PE bracket stock,1,250 x 250mm minimum sheet,0,1,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Unclad%20flame-retardant%20FR-4%3B3mm%3BUL94V-0%20at3mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Cut one 182 x 144 mm carrier, two H-rails from 180 x 32 mm blanks, and one 40 x 30 mm PE bracket. Follow the mechanical closure drawing for final outlines and holes. These pieces plus kerf fit 250 x 250 mm stock."
ORDER-05,Enclosure and assembly stock,,M4 nylon threaded rod;>=80mm,Four continuous frame/base posts,4,each,1,5,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4%20nylon%20threaded%20rod%3B%3E%3D80mm,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Four continuous posts through the enclosure base at (90,55), (260,55), (90,185), (260,185). Nylon only. Trim after setting elevations."
ORDER-06,Enclosure and assembly stock,,M4x30 stainless steel or brass bolt/stud,Dedicated PE junction stud,1,each,0,1,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=M4x30%20stainless%20steel%20or%20brass%20bolt/stud,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Clamp electrical ring contacts metal-to-metal. Keep nylon, GRP and FR-4 outside the electrical pressure stack. Bracket occupies X270..310, Y180..210, Z10..13 mm."
ORDER-08,Enclosure and assembly stock,,Nonconductive cable-tie base;15–20mm square,Glass-side external cable anchors,2,each,1,3,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Nonconductive%20cable-tie%20base%3B15%E2%80%9320mm%20square,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,"Place beside the sensor to its left, never on the glass-facing electrode area. Use 3M VHB 5952 under these bases only; no foam under the sensor."
ORDER-09,Enclosure and assembly stock,,Nylon small cable tie compatible with selected bases,External sensor jacket ties,4,each,4,8,Not ordered,,Selected stock specification; verify received dimensions,https://www.digikey.ca/en/products?keywords=Nylon%20small%20cable%20tie%20compatible%20with%20selected%20bases,../../docs/design/evidence/pre-fab-2026-09-14/mechanical-closure.md,Secure the cable jacket without crushing insulation. Retain a relaxed bend and the 203.2 mm complete harness limit.
