Manufacturer,MPN,Description,Controller refs,Mains refs,Sensor refs,Quantity per set,Recommended spares,Suggested buy quantity,Unit,Purchase status,Order ref,BOM IDs,Supplier lookup,Source
Littelfuse,0215001.MXEP,1 A axial time-lag filter branch fuse,,F3,,1,1,2,each,Not ordered,,BOM-118,https://www.digikey.ca/en/products?keywords=0215001.MXEP,https://www.littelfuse.com/assetdocs/fuse-215-datasheet?assetguid=990f7193-d9a2-48e4-b760-2b43514249cf
Littelfuse,0451003.MRL,3 A 12 V motor branch fuse,,F2,,1,1,2,each,Not ordered,,BOM-119,https://www.digikey.ca/en/products?keywords=0451003.MRL,https://www.littelfuse.com/assetdocs/fuse-451-and-453-datasheet?assetguid=533cd5cc-956c-4243-867f-6ab5a62f6ba1
Phoenix Contact,1868076,Two-position fixed side-entry mains screw terminals,,J1 J2 J3 J4,,4,0,4,each,Not ordered,,BOM-09,https://www.digikey.ca/en/products?keywords=1868076,https://www.phoenixcontact.com/en-us/products/pcb-terminal-block-mkds-5-2-762-1868076
Vishay,1N4007-E3/54,Relay flyback diode,,D1,,1,1,2,each,Not ordered,,BOM-25,https://www.digikey.ca/en/products?keywords=1N4007-E3%2F54,https://www.vishay.com/docs/88503/1n4001.pdf
Molex,43045-0200,12 V feed / motor output headers,J6 J7 J8 J9,J6,,5,1,6,each,Not ordered,,BOM-38,https://www.digikey.ca/en/products?keywords=43045-0200,https://www.molex.com/en-us/products/part-detail/430450200
Molex,43045-0600,Tank and reservoir sensor headers,J3 J5,,,2,1,3,each,Not ordered,,BOM-07,https://www.digikey.ca/en/products?keywords=43045-0600,https://www.molex.com/en-us/products/part-detail/430450600
Molex,43650-0300,5 V / ground / coil harness headers,J1,J5,,2,1,3,each,Not ordered,,BOM-35,https://www.digikey.ca/en/products?keywords=43650-0300,https://www.molex.com/en-us/products/part-detail/436500300
Alpha & Omega Semiconductor,AO3400A,Relay and future motor low-side switches,Q1 Q2 Q3 Q4,,,4,1,5,each,Not ordered,,BOM-15,https://www.digikey.ca/en/products?keywords=AO3400A,https://www.aosmd.com/res/data_sheets/AO3400A.pdf
Diodes Incorporated,AP63203WU-7,Controller fixed 3.3 V buck,U2,,,1,1,2,each,Not ordered,,BOM-16,https://www.digikey.ca/en/products?keywords=AP63203WU-7,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf
Diodes Incorporated,AP63205WU-7,Mains-board fixed 5 V buck,,U2,,1,1,2,each,Not ordered,,BOM-120,https://www.digikey.ca/en/products?keywords=AP63205WU-7,https://www.diodes.com/datasheet/download/AP63200-AP63201-AP63203-AP63205.pdf
TDK,B32921C3473K000,47 nF X2 capacitor in load RC network,,C1,,1,3,4,each,Not ordered,,BOM-14,https://www.digikey.ca/en/products?keywords=B32921C3473K000,https://www.tdk-electronics.tdk.com/en/3191402/products/product-catalog/film-capacitors/emi-suppression-capacitors/search-results-deltacap-capacitors?so=%7B%22orderingCode%22%3A%22B32921C3473%2A%22%7D
Omron,B3F-1002-G,Maintenance / BOOT / reset buttons,SW1 SW2 SW3,,,3,1,4,each,Not ordered,,BOM-20,https://www.digikey.ca/en/products?keywords=B3F-1002-G,https://components.omron.com/us-en/system/files/2023-01/datasheet_pdf/A070-E1.pdf
TDK,C1608X7R1H104K080AA,100 nF 50 V X7R bypass / bootstrap capacitors,C6 C7 C8 C11 C12 C21 C30 C31 C40 C41 C42 C45 C46,C5 C7,C3,16,4,20,each,Not ordered,,BOM-81,https://www.digikey.ca/en/products?keywords=C1608X7R1H104K080AA,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C1608X7R1H104K080AA
TDK,C2012X7R1E105K125AB,1 uF 25 V X7R capacitors,C9 C20 C43,,C4,4,3,7,each,Not ordered,,BOM-82,https://www.digikey.ca/en/products?keywords=C2012X7R1E105K125AB,https://product.tdk.com/en/search/capacitor/ceramic/mlcc/info?part_no=C2012X7R1E105K125AB
TDK,C3216X7R1E106K160AB,10 uF 25 V X7R capacitors,C44,,C1 C2,3,3,6,each,Not ordered,,BOM-66,https://www.digikey.ca/en/products?keywords=C3216X7R1E106K160AB,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216x7r1e106k160ab_200122.pdf
Vishay,CRCW25126R80FKEGHP,6.8 ohm sensor-port power resistors,R68 R69,,,2,3,5,each,Not ordered,,BOM-110,https://www.digikey.ca/en/products?keywords=CRCW25126R80FKEGHP,https://www.vishay.com/docs/20043/crcwhpe3.pdf
Panasonic,ERA3AEB103V,10 kohm 0.1% supervisor divider bottom,R15,,,1,3,4,each,Not ordered,,BOM-83,https://www.digikey.ca/en/products?keywords=ERA3AEB103V,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB103V
Panasonic,ERA3AEB9532V,95.3kohm supervisor divider top,R14,,,1,3,4,each,Not ordered,,BOM-90,https://www.digikey.ca/en/products?keywords=ERA3AEB9532V,https://industrial.panasonic.com/ww/products/pt/high-precision-chip-resistors/models/ERA3AEB9532V
Panasonic,ERJ3EKF1000V,100 ohm 1% 0603 resistor group,R20 R80 R82 R84,,,4,3,7,each,Not ordered,,BOM-87,https://www.digikey.ca/en/products?keywords=ERJ3EKF1000V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1000V
Panasonic,ERJ3EKF1001V,1 kohm 1% 0603 resistor group,R42,,,1,3,4,each,Not ordered,,BOM-85,https://www.digikey.ca/en/products?keywords=ERJ3EKF1001V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1001V
Panasonic,ERJ3EKF1002V,10 kohm 1% 0603 resistor group,R2 R11 R12 R46 R50 R51 R52 R53 R64 R65 R66 R67 R81 R83 R85,,R5,16,4,20,each,Not ordered,,BOM-121,https://www.digikey.ca/en/products?keywords=ERJ3EKF1002V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1002V
Panasonic,ERJ3EKF1003V,100 kohm 1% 0603 resistor group,R43,,,1,3,4,each,Not ordered,,BOM-86,https://www.digikey.ca/en/products?keywords=ERJ3EKF1003V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF1003V
Panasonic,ERJ3EKF22R0V,22 ohm 1% 0603 resistor group,R44 R45 R62 R63 R70 R71,,R1 R2,8,3,11,each,Not ordered,,BOM-89,https://www.digikey.ca/en/products?keywords=ERJ3EKF22R0V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF22R0V
Panasonic,ERJ3EKF2701V,2.7 kohm 1% 0603 resistor group,R60 R61 R72 R73,,R3 R4,6,3,9,each,Not ordered,,BOM-88,https://www.digikey.ca/en/products?keywords=ERJ3EKF2701V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF2701V
Panasonic,ERJ3EKF3011V,3.01 kohm 1% 0603 resistor group,,,R6,1,3,4,each,Not ordered,,BOM-117,https://www.digikey.ca/en/products?keywords=ERJ3EKF3011V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF3011V
Panasonic,ERJ3EKF3300V,330 ohm 1% 0603 resistor group,R55,,,1,3,4,each,Not ordered,,BOM-91,https://www.digikey.ca/en/products?keywords=ERJ3EKF3300V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF3300V
Panasonic,ERJ3EKF5101V,5.1 kohm 1% 0603 resistor group,R40 R41,,,2,3,5,each,Not ordered,,BOM-84,https://www.digikey.ca/en/products?keywords=ERJ3EKF5101V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF5101V
Panasonic,ERJ3EKF6800V,680 ohm 1% 0603 resistor group,R54,,,1,3,4,each,Not ordered,,BOM-80,https://www.digikey.ca/en/products?keywords=ERJ3EKF6800V,https://industrial.panasonic.com/ww/products/pt/general-purpose-chip-resistors/models/ERJ3EKF6800V
Texas Instruments,ESDS312DBVR,Sensor cable signal protection,U11 U13,,U3,3,1,4,each,Not ordered,,BOM-107,https://www.digikey.ca/en/products?keywords=ESDS312DBVR,https://www.ti.com/lit/ds/symlink/esds312.pdf
Espressif,ESP32-C6-WROOM-1-N8,Wireless MCU module,U1,,,1,1,2,each,Not ordered,,BOM-02,https://www.digikey.ca/en/products?keywords=ESP32-C6-WROOM-1-N8,https://www.espressif.com/sites/default/files/documentation/esp32-c6-wroom-1_wroom-1u_datasheet_en.pdf
Texas Instruments,FDC1004DGSR,Capacitance converter,,,U1,1,1,2,each,Not ordered,,BOM-01,https://www.digikey.ca/en/products?keywords=FDC1004DGSR,https://www.ti.com/lit/ds/symlink/fdc1004.pdf
onsemi,FSUSB42MUX,USB data isolation switch,U8,,,1,1,2,each,Not ordered,,BOM-30,https://www.digikey.ca/en/products?keywords=FSUSB42MUX,https://www.onsemi.com/download/data-sheet/pdf/fsusb42-d.pdf
Omron,G5RL-1A-TV8 DC5,Normally-open pump relay,,K1,,1,0,1,each,Not ordered,,BOM-04,https://www.digikey.ca/en/products?keywords=G5RL-1A-TV8%20DC5,https://components.omron.com/us-en/products/relays/G5RL
Murata,GRM32ER71E226ME15L,22 uF 25 V X7R bulk capacitors,C1 C2 C3 C4 C5 C47,C2 C3 C4 C6,,10,3,13,each,Not ordered,,BOM-63,https://www.digikey.ca/en/products?keywords=GRM32ER71E226ME15L,https://ds.murata.com/simsurfing/mlcc.html?partnumbers=%5B%22GRM32ER71E226ME15%22%5D
Mean Well,IRM-45-12,Isolated 12 V common power module,,U1,,1,0,1,each,Not ordered,,BOM-03,https://www.digikey.ca/en/products?keywords=IRM-45-12,https://www.meanwell.com/Upload/PDF/IRM-45/IRM-45-SPEC.pdf
Vishay,PR02FS0201000KA100,100 ohm 2W snubber resistor,,R1,,1,3,4,each,Not ordered,,BOM-24,https://www.digikey.ca/en/products?keywords=PR02FS0201000KA100,https://www.vishay.com/docs/28915/pr02fs.pdf
JST,S2B-XH-A,Distinct 5 V service header,J2,,,1,1,2,each,Not ordered,,BOM-125,https://www.digikey.ca/en/products?keywords=S2B-XH-A,https://www.jst.com/wp-content/uploads/2025/06/eXH.pdf
Littelfuse,SMBJ7.0A,Controller sensor-port power TVS,D7 D8,,,2,1,3,each,Not ordered,,BOM-108,https://www.digikey.ca/en/products?keywords=SMBJ7.0A,https://www.littelfuse.com/assetdocs/tvs-diodes-smbj-series-datasheet?assetguid=ba555e99-a12d-4f72-a0b6-86b06c67171e
Texas Instruments,SN74LVC1G08DBVR,PSU-good AND relay-request gate,U6,,,1,1,2,each,Not ordered,,BOM-29,https://www.digikey.ca/en/products?keywords=SN74LVC1G08DBVR,https://www.ti.com/lit/ds/symlink/sn74lvc1g08.pdf
Texas Instruments,SN74LVC1G14DBVR,USB VBUS detector/inverter,U7,,,1,1,2,each,Not ordered,,BOM-31,https://www.digikey.ca/en/products?keywords=SN74LVC1G14DBVR,https://www.ti.com/lit/ds/symlink/sn74lvc1g14.pdf
Bourns,SRP5030TA-4R7M,4.7 uH buck inductors,L1,L1,,2,1,3,each,Not ordered,,BOM-26,https://www.digikey.ca/en/products?keywords=SRP5030TA-4R7M,https://www.bourns.com/docs/product-datasheets/srp5030ta.pdf
STMicroelectronics,STPS2L40U,Source OR / motor flyback / sensor reverse diodes,D1 D2 D9 D10 D11,,D2,6,1,7,each,Not ordered,,BOM-27,https://www.digikey.ca/en/products?keywords=STPS2L40U,https://www.st.com/resource/en/datasheet/stps2l40.pdf
Texas Instruments,TCA9517ADGKR,Tank and reservoir I2C buffers,U3 U12,,,2,1,3,each,Not ordered,,BOM-33,https://www.digikey.ca/en/products?keywords=TCA9517ADGKR,https://www.ti.com/lit/ds/symlink/tca9517a.pdf
Littelfuse,TMOV14RP175EL2T7,Protected MOV surge network,,RV1,,1,3,4,each,Not ordered,,BOM-13,https://www.digikey.ca/en/products?keywords=TMOV14RP175EL2T7,https://www.littelfuse.com/assetdocs/tmov-itmov?assetguid=bd475732-1071-4352-b8aa-f78b0007eb05
Texas Instruments,TPS2553DBVR,Controlled sensor power feed,U5,,,1,1,2,each,Not ordered,,BOM-62,https://www.digikey.ca/en/products?keywords=TPS2553DBVR,https://www.ti.com/lit/ds/symlink/tps2553.pdf
Texas Instruments,TPS3808G01DBVR,PSU voltage supervisor,U4,,,1,1,2,each,Not ordered,,BOM-28,https://www.digikey.ca/en/products?keywords=TPS3808G01DBVR,https://www.ti.com/lit/ds/symlink/tps3808.pdf
Texas Instruments,TPS7A2433DBVR,Fixed 3.3 V sensor regulator,,,U2,1,1,2,each,Not ordered,,BOM-17,https://www.digikey.ca/en/products?keywords=TPS7A2433DBVR,https://www.ti.com/lit/ds/symlink/tps7a24.pdf
GCT,USB4105-GF-A,Self-powered USB-C data/service connector,J4,,,1,1,2,each,Not ordered,,BOM-18,https://www.digikey.ca/en/products?keywords=USB4105-GF-A,https://gct.co/files/drawings/usb4105.pdf
STMicroelectronics,USBLC6-2SC6,USB ESD protection,U9,,,1,1,2,each,Not ordered,,BOM-32,https://www.digikey.ca/en/products?keywords=USBLC6-2SC6,https://www.st.com/resource/en/datasheet/usblc6-2.pdf
Kingbright,WP710A10LGD,Green status LED,D4,,,1,1,2,each,Not ordered,,BOM-19,https://www.digikey.ca/en/products?keywords=WP710A10LGD,https://www.kingbrightusa.com/images/catalog/SPEC/WP710A10LGD.pdf
