Board,Reference,Manufacturer,MPN,Value,Quantity per set,Footprint,Assembly,BOM ID,Purchase status,Source
controller,C1,Murata,GRM32ER71E226ME15L,22uF,1,CrystalShim_Controller:Controller_C1,Owner soldering,BOM-63,Not ordered,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71E226ME15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173647
controller,C11,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C11,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C12,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C12,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C2,Murata,GRM32ER71E226ME15L,22uF,1,CrystalShim_Controller:Controller_C2,Owner soldering,BOM-63,Not ordered,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71E226ME15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173647
controller,C20,TDK,C2012X7R1E105K125AB,1uF,1,CrystalShim_Controller:Controller_C20,Owner soldering,BOM-82,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x7r1e105k125ab.pdf
controller,C21,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C21,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C3,Murata,GRM32ER71E226ME15L,22uF,1,CrystalShim_Controller:Controller_C3,Owner soldering,BOM-63,Not ordered,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71E226ME15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173647
controller,C30,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C30,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C31,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C31,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C4,Murata,GRM32ER71E226ME15L,22uF,1,CrystalShim_Controller:Controller_C4,Owner soldering,BOM-63,Not ordered,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71E226ME15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173647
controller,C40,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C40,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C41,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C41,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C42,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C42,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C43,TDK,C2012X7R1E105K125AB,1uF,1,CrystalShim_Controller:Controller_C43,Owner soldering,BOM-82,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c2012x7r1e105k125ab.pdf
controller,C44,TDK,C3216X7R1E106K160AB,10uF,1,CrystalShim_Controller:Controller_C44,Owner soldering,BOM-66,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c3216x7r1e106k160ab_200122.pdf
controller,C45,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C45,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C46,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C46,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C47,Murata,GRM32ER71E226ME15L,22uF,1,CrystalShim_Controller:Controller_C47,Owner soldering,BOM-63,Not ordered,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71E226ME15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173647
controller,C5,Murata,GRM32ER71E226ME15L,22uF,1,CrystalShim_Controller:Controller_C5,Owner soldering,BOM-63,Not ordered,https://pim.murata.com/asset/pim4/ceramicCapacitorSMD/GRM32ER71E226ME15-04CA-EN_PDF_CERAMICCAPACITORSMD?lastModifiedDatetime=20260730173647
controller,C6,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C6,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C7,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C7,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
controller,C8,TDK,C1608X7R1H104K080AA,100nF,1,CrystalShim_Controller:Controller_C8,Owner soldering,BOM-81,Not ordered,https://product.tdk.cn/system/files/dam/doc/product/capacitor/ceramic/mlcc/charasheet/c1608x7r1h104k080aa.pdf
