order_line_number,order_line_id,customer_reference,digikey_sku,ordered_mpn,quantity_ordered,quantity_received,status,unit_price_cad,extended_price_cad,source_ids,use
1,ORDER-LINE-001,CS-001,F3476-ND,0215001.MXEP,1,0,On the way,5.01000,5.01,BOM-118,mains: F3
2,ORDER-LINE-003,CS-003,277-5840-ND,1868076,4,0,On the way,2.80000,11.20,BOM-09,mains: J1 J2 J3 J4
3,ORDER-LINE-005,CS-005,WM1813-ND,0430450200,5,0,On the way,1.44000,7.20,BOM-38,controller: J6 J7 J8 J9; mains: J6
4,ORDER-LINE-006,CS-006,WM1815-ND,0430450600,2,0,On the way,2.99000,5.98,BOM-07,controller: J3 J5
5,ORDER-LINE-007,CS-007,WM1861-ND,0436500300,2,0,On the way,1.79000,3.58,BOM-35,controller: J1; mains: J5
6,ORDER-LINE-011,CS-011,495-6903-ND,B32921C3473K000,1,0,On the way,0.82000,0.82,BOM-14,mains: C1
7,ORDER-LINE-012,CS-012,SW787-ND,B3F-1002-G,3,0,On the way,4.95000,14.85,BOM-20,controller: SW1 SW2 SW3
8,ORDER-LINE-035,CS-035,1866-3053-ND,IRM-45-12,1,0,On the way,21.10000,21.10,BOM-03,mains: U1
9,ORDER-LINE-037,CS-037,455-S2B-XH-A-ND,S2B-XH-A,1,0,On the way,0.21000,0.21,BOM-125,controller: J2
10,ORDER-LINE-002,CS-002,F2583CT-ND,0451003.MRL,1,0,On the way,3.62000,3.62,BOM-119,mains: F2
11,ORDER-LINE-004,CS-004,1N4007-E3/54GICT-ND,1N4007-E3/54,1,0,On the way,0.82000,0.82,BOM-25,mains: D1
12,ORDER-LINE-008,CS-008,785-1000-1-ND,AO3400A,10,0,On the way,0.50300,5.03,BOM-15,controller: Q1 Q2 Q3 Q4
13,ORDER-LINE-029,CS-029,296-51112-1-ND,ESDS312DBVR,3,0,On the way,1.23000,3.69,BOM-107,controller: U11 U13; sensor: U3
14,ORDER-LINE-030,CS-030,1965-ESP32-C6-WROOM-1-N8CT-ND,ESP32-C6-WROOM-1-N8,1,0,On the way,8.67000,8.67,BOM-02,controller: U1
15,ORDER-LINE-031,CS-031,296-48544-1-ND,FDC1004DGSR,1,0,On the way,6.51000,6.51,BOM-01,sensor: U1
16,ORDER-LINE-032,CS-032,FSUSB42MUXCT-ND,FSUSB42MUX,1,0,On the way,1.30000,1.30,BOM-30,controller: U8
17,ORDER-LINE-036,CS-036,BC3366CT-ND,PR02FS0201000KR500,1,0,On the way,0.72000,0.72,BOM-24,mains: R1
18,ORDER-LINE-038,CS-038,SMBJ7.0ALFCT-ND,SMBJ7.0A,2,0,On the way,0.78000,1.56,BOM-108,controller: D7 D8
19,ORDER-LINE-039,CS-039,296-11601-1-ND,SN74LVC1G08DBVR,10,0,On the way,0.12000,1.20,BOM-29,controller: U6
20,ORDER-LINE-040,CS-040,296-11607-1-ND,SN74LVC1G14DBVR,10,0,On the way,0.14700,1.47,BOM-31,controller: U7
21,ORDER-LINE-041,CS-041,SRP5030TA-4R7MCT-ND,SRP5030TA-4R7M,2,0,On the way,1.72000,3.44,BOM-26,controller: L1; mains: L1
22,ORDER-LINE-042,CS-042,497-5574-1-ND,STPS2L40U,10,0,On the way,0.52500,5.25,BOM-27,controller: D1 D2 D9 D10 D11; sensor: D2
23,ORDER-LINE-043,CS-043,296-39220-1-ND,TCA9517ADGKR,2,0,On the way,1.91000,3.82,BOM-33,controller: U3 U12
24,ORDER-LINE-046,CS-046,296-17188-1-ND,TPS3808G01DBVR,1,0,On the way,3.06000,3.06,BOM-28,controller: U4
25,ORDER-LINE-047,CS-047,296-TPS7A2433DBVRCT-ND,TPS7A2433DBVR,1,0,On the way,1.11000,1.11,BOM-17,sensor: U2
26,ORDER-LINE-048,CS-048,2073-USB4105-GF-ACT-ND,USB4105-GF-A,10,0,On the way,0.99100,9.91,BOM-18,controller: J4
27,ORDER-LINE-013,CS-013,445-1314-1-ND,C1608X7R1H104K080AA,20,0,On the way,0.08800,1.76,BOM-81,controller: C6 C7 C8 C11 C12 C21 C30 C31 C40 C41 C42 C45 C46; mains: C5 C7; sensor: C3
28,ORDER-LINE-014,CS-014,445-1354-1-ND,C2012X7R1E105K125AB,10,0,On the way,0.19100,1.91,BOM-82,controller: C9 C20 C43; sensor: C4
29,ORDER-LINE-016,CS-016,541-6.80RCT-ND,CRCW25126R80FKEGHP,3,0,On the way,1.22000,3.66,BOM-110,controller: R68 R69
30,ORDER-LINE-017,CS-017,P10KDBCT-ND,ERA-3AEB103V,2,0,On the way,0.17000,0.34,BOM-83,controller: R15
31,ORDER-LINE-018,CS-018,P95.3KDBCT-ND,ERA-3AEB9532V,2,0,On the way,0.17000,0.34,BOM-90,controller: R14
32,ORDER-LINE-019,CS-019,P100HCT-ND,ERJ-3EKF1000V,10,0,On the way,0.06100,0.61,BOM-87,controller: R20 R80 R82 R84
33,ORDER-LINE-020,CS-020,P1.00KHCT-ND,ERJ-3EKF1001V,10,0,On the way,0.06100,0.61,BOM-85,controller: R42
34,ORDER-LINE-021,CS-021,P10.0KHCT-ND,ERJ-3EKF1002V,25,0,On the way,0.04480,1.12,BOM-121,controller: R2 R11 R12 R46 R50 R51 R52 R53 R64 R65 R66 R67 R81 R83 R85; sensor: R5
35,ORDER-LINE-022,CS-022,P100KHCT-ND,ERJ-3EKF1003V,10,0,On the way,0.06100,0.61,BOM-86,controller: R43
36,ORDER-LINE-023,CS-023,P22.0HCT-ND,ERJ-3EKF22R0V,10,0,On the way,0.06100,0.61,BOM-89,controller: R44 R45 R62 R63 R70 R71; sensor: R1 R2
37,ORDER-LINE-024,CS-024,P2.70KHCT-ND,ERJ-3EKF2701V,10,0,On the way,0.06400,0.64,BOM-88,controller: R60 R61 R72 R73; sensor: R3 R4
38,ORDER-LINE-025,CS-025,P3.01KHCT-ND,ERJ-3EKF3011V,10,0,On the way,0.06100,0.61,BOM-117,sensor: R6
39,ORDER-LINE-027,CS-027,P5.10KHCT-ND,ERJ-3EKF5101V,10,0,On the way,0.06100,0.61,BOM-84,controller: R40 R41
40,ORDER-LINE-028,CS-028,P680HCT-ND,ERJ-3EKF6800V,10,0,On the way,0.06400,0.64,BOM-80,controller: R54
41,ORDER-LINE-051,CS-051,817-2400-ND,FN2090A-1-06,1,0,On the way,55.46000,55.46,BOM-05,Enclosure mains: Manufactured two-stage EMI filter
42,ORDER-LINE-052,CS-052,WM1785-ND,0430250600,10,0,On the way,0.67500,6.75,BOM-06,Sensor harness: Six-position cable receptacle housing
43,ORDER-LINE-053,CS-053,486-1032-ND,6200.23,1,0,On the way,6.61000,6.61,BOM-10,Enclosure: Standard mains input
44,ORDER-LINE-055,CS-055,F4609-ND,0215002.MXP,2,0,On the way,3.65000,7.30,BOM-12 BOM-123,Mains: 2 A time-lag inlet fuse F1; Service 2 A time-lag cartridge
