"#","QUANTITY","PART NUMBER","MANUFACTURER PART NUMBER","DESCRIPTION","UNIT OF MEASURE","CUSTOMER REFERENCE","AVAILABILITY","UNIT PRICE"
"1","1","F3476-ND","0215001.MXEP","FUSE CERAMIC 1A 250VAC 5X20MM","","CS-001","Immediate","5.01000"
"2","4","277-5840-ND","1868076","TERM BLK 2P SIDE ENT 7.62MM PCB","","CS-003","Immediate","2.80000"
"3","5","WM1813-ND","0430450200","CONN HEADER R/A 2POS","","CS-005","Immediate","1.44000"
"4","2","WM1815-ND","0430450600","CONN HEADER R/A 6POS 3MM","","CS-006","Immediate","2.99000"
"5","2","WM1861-ND","0436500300","CONN HEADER R/A 3POS 3MM","","CS-007","Immediate","1.79000"
"6","1","495-6903-ND","B32921C3473K000","CAP FILM 0.047UF 10% 630VDC RAD","","CS-011","Immediate","0.82000"
"7","3","SW787-ND","B3F-1002-G","SWITCH TACTILE SPST-NO 0.05A 24V","","CS-012","Immediate","4.95000"
"8","1","1866-3053-ND","IRM-45-12","AC/DC CONVERTER 12V 46W","","CS-035","Immediate","21.10000"
"9","1","455-S2B-XH-A-ND","S2B-XH-A","CONN HEADER R/A 2POS 2.5MM","","CS-037","Immediate","0.21000"
"10","1","F2583CT-ND","0451003.MRL","FUSE BRD MNT 3A 125VAC/VDC 2SMD","","CS-002","Immediate","3.62000"
"11","1","1N4007-E3/54GICT-ND","1N4007-E3/54","DIODE GEN PURP 1KV 1A DO204AL","","CS-004","Immediate","0.82000"
"12","10","785-1000-1-ND","AO3400A","MOSFET N-CH 30V 5.7A SOT23-3L","","CS-008","Immediate","0.50300"
"13","3","296-51112-1-ND","ESDS312DBVR","TVS DIODE 3.6VWM 6.5VC SOT23-5","","CS-029","Immediate","1.23000"
"14","1","1965-ESP32-C6-WROOM-1-N8CT-ND","ESP32-C6-WROOM-1-N8","RF TXRX MODULE BT PCB TRACE SMD","","CS-030","Immediate","8.67000"
"15","1","296-48544-1-ND","FDC1004DGSR","IC PROXIMITY 4CH 10VSSOP","","CS-031","Immediate","6.51000"
"16","1","FSUSB42MUXCT-ND","FSUSB42MUX","IC USB SWITCH DPDT 10MSOP","","CS-032","Immediate","1.30000"
"17","1","BC3366CT-ND","PR02FS0201000KR500","RES 100 OHM 10% 2W AXIAL","","CS-036","Immediate","0.72000"
"18","2","SMBJ7.0ALFCT-ND","SMBJ7.0A","TVS DIODE 7VWM 12VC DO214AA","","CS-038","Immediate","0.78000"
"19","10","296-11601-1-ND","SN74LVC1G08DBVR","IC AND 1-CIR 2-IN SOT-23-5","","CS-039","Immediate","0.12000"
"20","10","296-11607-1-ND","SN74LVC1G14DBVR","IC INV 1-CIR 1-IN SOT-23-5","","CS-040","Immediate","0.14700"
"21","2","SRP5030TA-4R7MCT-ND","SRP5030TA-4R7M","FIXED IND 4.7UH 4.6A 53 MOHM SMD","","CS-041","Immediate","1.72000"
"22","10","497-5574-1-ND","STPS2L40U","DIODE SCHOTTKY 40V 2A SMB","","CS-042","Immediate","0.52500"
"23","2","296-39220-1-ND","TCA9517ADGKR","IC XLTR VL BIDIR 8-VSSOP","","CS-043","Immediate","1.91000"
"24","1","296-17188-1-ND","TPS3808G01DBVR","IC SUPERVISOR 1 CHANNEL SOT23-6","","CS-046","Immediate","3.06000"
